K,Hash_Size,Average_Lookup_Time_ms
25,3,1.83
25,4,0.81
25,5,0.72
25,6,0.76
25,7,0.78
25,8,0.78
25,16,0.65
25,32,0.67
26,3,3.80
26,4,3.34
26,5,3.20
26,6,3.21
26,7,3.30
26,8,3.09
26,16,3.32
26,32,3.40
27,3,4.87
27,4,4.47
27,5,4.82
27,6,4.71
27,7,4.96
27,8,4.83
27,16,4.72
27,32,4.66
28,3,5.40
28,4,5.45
28,5,5.61
28,6,5.33
28,7,5.26
28,8,5.70
28,16,5.63
28,32,5.50
29,3,6.16
29,4,6.31
29,5,6.29
29,6,6.19
29,7,6.01
29,8,6.06
29,16,6.28
29,32,6.11
30,3,6.36
30,4,6.22
30,5,6.27
30,6,6.31
30,7,6.35
30,8,6.43
30,16,6.31
30,32,6.39
31,3,6.36
31,4,6.43
31,5,6.30
31,6,6.29
31,7,6.26
31,8,6.36
31,16,6.52
31,32,6.23
33,3,7.38
33,4,7.25
33,5,7.54
33,6,7.51
33,7,7.56
33,8,7.53
33,16,7.77
33,32,8.06
34,3,8.19
34,4,8.14
34,5,7.94
34,6,8.01
34,7,8.22
34,8,8.17
34,16,8.44
34,32,8.36
35,3,8.90
35,4,8.49
35,5,8.54
35,6,8.52
35,7,8.53
35,8,8.59
35,16,9.05
35,32,8.54
36,3,11.43
36,4,11.24
36,5,11.12
36,6,11.80
36,7,11.55
36,8,11.39
36,16,11.67
36,32,11.58
37,3,11.32
37,4,11.25
37,5,10.88
37,6,10.94
37,7,11.00
37,8,10.96
37,16,10.87
37,32,10.80
38,3,8.62
38,4,8.58
38,5,8.72
38,6,8.53
38,7,8.50
38,8,8.89
38,16,8.71
38,32,8.67
39,3,12.30
39,4,11.79
39,5,12.21
39,6,12.20
39,7,11.85
39,8,12.11
39,16,12.50
39,32,12.18
40,3,13.94
40,4,13.61
40,5,14.40
40,6,14.43
40,7,14.21
40,8,14.17
40,16,14.35
40,32,14.35
