K,Hash_Size,Average_Lookup_Time_ms
25,3,0.16
25,4,0.08
25,5,0.08
25,6,0.06
25,7,0.10
25,8,0.09
25,16,0.08
25,32,0.10
26,3,0.08
26,4,0.12
26,5,0.08
26,6,0.12
26,7,0.11
26,8,0.08
26,16,0.08
26,32,0.10
27,3,0.10
27,4,0.08
27,5,0.08
27,6,0.08
27,7,0.09
27,8,0.08
27,16,0.09
27,32,0.11
28,3,0.08
28,4,0.09
28,5,0.09
28,6,0.08
28,7,0.08
28,8,0.08
28,16,0.08
28,32,0.10
29,3,0.15
29,4,0.08
29,5,0.09
29,6,0.08
29,7,0.09
29,8,0.09
29,16,0.12
29,32,0.10
30,3,0.11
30,4,0.11
30,5,0.10
30,6,0.08
30,7,0.08
30,8,0.14
30,16,0.08
30,32,0.09
31,3,0.09
31,4,0.08
31,5,0.08
31,6,0.08
31,7,0.10
31,8,0.09
31,16,0.12
31,32,0.08
32,3,0.11
32,4,0.16
32,5,0.09
32,6,0.09
32,7,0.09
32,8,0.12
32,16,0.13
32,32,0.09
33,3,0.12
33,4,0.11
33,5,0.10
33,6,0.14
33,7,0.11
33,8,0.11
33,16,0.12
33,32,0.10
34,3,0.14
34,4,0.12
34,5,0.13
34,6,0.15
34,7,0.17
34,8,0.14
34,16,0.13
34,32,0.13
35,3,0.19
35,4,0.16
35,5,0.16
35,6,0.16
35,7,0.16
35,8,0.16
35,16,0.16
35,32,0.17
