K,Hash_Size,Average_Lookup_Time_ms
25,3,0.06
26,3,0.07
27,3,0.07
28,3,0.07
29,3,0.07
30,3,0.06
31,3,0.09
25,4,0.07
26,4,0.07
27,4,0.07
28,4,0.08
29,4,0.07
30,4,0.07
31,4,0.08
25,5,0.07
26,5,0.06
27,5,0.08
28,5,0.07
29,5,0.07
30,5,0.07
31,5,0.07
25,6,0.07
26,6,0.07
27,6,0.07
28,6,0.07
29,6,0.06
30,6,0.06
31,6,0.07
25,7,0.07
26,7,0.06
27,7,0.06
28,7,0.07
29,7,0.07
30,7,0.08
31,7,0.07
25,8,0.07
26,8,0.06
27,8,0.06
28,8,0.07
29,8,0.07
30,8,0.08
31,8,0.07
25,16,0.07
26,16,0.06
27,16,0.06
28,16,0.07
29,16,0.08
30,16,0.07
31,16,0.07
25,32,0.07
26,32,0.07
27,32,0.07
28,32,0.07
29,32,0.08
30,32,0.07
31,32,0.08
32,3,0.08
33,3,0.09
34,3,0.12
32,4,0.08
33,4,0.09
34,4,0.12
32,5,0.08
33,5,0.09
34,5,0.12
32,6,0.08
33,6,0.10
34,6,0.12
32,7,0.08
33,7,0.09
34,7,0.12
32,8,0.08
33,8,0.09
34,8,0.11
32,16,0.08
33,16,0.10
34,16,0.12
32,32,0.08
33,32,0.10
34,32,0.12
