K,Hash_Size,Average_Lookup_Time_ms
25,3,0.71
26,3,0.81
27,3,0.76
28,3,0.74
29,3,0.79
30,3,0.90
31,3,0.91
25,4,0.42
26,4,0.57
27,4,0.72
28,4,0.69
29,4,0.73
30,4,0.90
31,4,0.90
25,5,0.38
26,5,0.51
27,5,0.60
28,5,0.61
29,5,0.64
30,5,0.70
31,5,0.75
25,6,0.29
26,6,0.38
27,6,0.46
28,6,0.55
29,6,0.69
30,6,0.77
31,6,0.86
25,7,0.21
26,7,0.30
27,7,0.45
28,7,0.56
29,7,0.69
30,7,0.71
31,7,0.72
25,8,0.16
26,8,0.28
27,8,0.41
28,8,0.49
29,8,0.58
30,8,0.78
31,8,0.83
25,16,0.16
26,16,0.28
27,16,0.37
28,16,0.53
29,16,0.58
30,16,0.70
31,16,0.71
25,32,0.20
26,32,0.29
27,32,0.44
28,32,0.53
29,32,0.73
30,32,0.85
31,32,0.90
32,3,1.12
33,3,1.26
34,3,1.49
35,3,1.62
36,3,1.67
37,3,1.56
32,4,0.88
33,4,1.03
34,4,1.13
35,4,1.38
36,4,1.51
37,4,1.39
32,5,0.82
33,5,1.04
34,5,1.05
35,5,1.34
36,5,1.58
37,5,1.57
32,6,0.96
33,6,1.07
34,6,1.17
35,6,1.35
36,6,1.50
37,6,1.43
32,7,0.85
33,7,1.23
34,7,1.34
35,7,1.38
36,7,1.69
37,7,1.56
32,8,0.90
33,8,1.05
34,8,1.27
35,8,1.44
36,8,1.58
37,8,1.55
32,16,0.86
33,16,1.15
34,16,1.29
35,16,1.42
36,16,1.65
37,16,1.48
32,32,0.87
33,32,1.13
34,32,1.21
35,32,1.61
36,32,1.67
37,32,1.58
