K,Hash_Size,Average_Lookup_Time_ms
25,3,0.80
25,4,0.71
25,5,0.64
25,6,0.77
25,7,0.80
25,8,0.65
25,16,0.71
25,32,0.68
26,3,3.51
26,4,3.35
26,5,3.27
26,6,3.23
26,7,3.44
26,8,3.39
26,16,3.37
26,32,3.28
27,3,5.00
27,4,4.76
27,5,4.76
27,6,4.61
27,7,4.58
27,8,4.60
27,16,4.56
27,32,4.69
28,3,5.59
28,4,5.52
28,5,5.45
28,6,5.38
28,7,5.45
28,8,5.57
28,16,5.37
28,32,5.39
29,3,6.05
29,4,6.02
29,5,5.83
29,6,6.19
29,7,6.09
29,8,5.99
29,16,6.09
29,32,6.19
30,3,6.31
30,4,6.25
30,5,6.19
30,6,6.21
30,7,6.19
30,8,6.21
30,16,6.25
30,32,6.15
31,3,6.38
31,4,6.46
31,5,6.37
31,6,6.33
31,7,6.27
31,8,6.17
31,16,6.21
31,32,6.31
32,3,6.58
32,4,6.41
32,5,6.48
32,6,6.49
32,7,6.50
32,8,6.46
32,16,6.42
32,32,6.63
33,3,7.14
33,4,6.97
33,5,6.85
33,6,7.24
33,7,7.34
33,8,7.24
33,16,7.19
33,32,7.01
34,3,7.49
34,4,7.54
34,5,7.76
34,6,7.46
34,7,7.77
34,8,7.80
34,16,7.79
34,32,7.68
35,3,8.08
35,4,8.29
35,5,8.56
35,6,8.72
35,7,8.75
35,8,8.71
35,16,9.17
35,32,9.22
36,3,11.54
36,4,11.40
36,5,11.54
36,6,11.24
36,7,11.69
36,8,11.23
36,16,11.67
36,32,11.02
37,3,11.26
37,4,11.22
37,5,11.29
37,6,11.35
37,7,11.34
37,8,11.45
37,16,11.42
37,32,11.52
38,3,8.84
38,4,8.50
38,5,8.80
38,6,8.89
38,7,8.64
38,8,8.78
38,16,8.66
38,32,8.92
39,3,12.26
39,4,11.82
39,5,11.70
39,6,12.05
39,7,12.22
39,8,12.07
39,16,12.06
39,32,11.79
40,3,13.87
40,4,13.38
40,5,14.10
40,6,14.16
40,7,14.50
40,8,14.30
40,16,14.41
40,32,14.49
