K,Hash_Size,Average_Lookup_Time_ms
25,3,1.30
25,4,0.54
25,5,0.64
25,6,0.67
25,7,0.56
25,8,0.57
25,16,0.61
25,32,0.63
26,3,3.98
26,4,3.47
26,5,3.57
26,6,3.49
26,7,3.54
26,8,3.66
26,16,3.57
26,32,3.78
27,3,5.37
27,4,5.13
27,5,5.49
27,6,5.12
27,7,5.44
27,8,5.44
27,16,5.52
27,32,5.24
28,3,5.85
28,4,5.94
28,5,5.72
28,6,5.90
28,7,5.82
28,8,5.81
28,16,5.74
28,32,5.41
29,3,6.25
29,4,6.32
29,5,6.16
29,6,6.21
29,7,6.42
29,8,6.33
29,16,6.44
29,32,6.44
30,3,6.83
30,4,6.70
30,5,6.69
30,6,6.71
30,7,6.73
30,8,6.69
30,16,6.73
30,32,6.85
31,3,6.97
31,4,7.14
31,5,6.90
31,6,6.87
31,7,6.90
31,8,7.04
31,16,7.02
31,32,7.09
32,3,4.03
32,4,3.91
32,5,3.98
32,6,3.77
32,7,4.03
32,8,4.39
32,16,3.95
32,32,4.18
33,3,8.24
33,4,8.52
33,5,8.23
33,6,8.22
33,7,8.43
33,8,8.20
33,16,8.38
33,32,8.39
34,3,8.96
34,4,8.63
34,5,8.95
34,6,8.98
34,7,8.98
34,8,8.77
34,16,8.86
34,32,8.80
35,3,10.18
35,4,10.34
35,5,10.44
35,6,10.61
35,7,10.44
35,8,10.66
35,16,10.43
35,32,10.93
36,3,13.66
36,4,13.41
36,5,13.78
36,6,13.85
36,7,13.49
36,8,13.50
36,16,13.90
36,32,13.70
37,3,7.71
37,4,7.50
37,5,8.32
37,6,8.26
37,7,8.33
37,8,8.15
37,16,8.41
37,32,8.25
40,3,13.52
40,4,13.21
40,5,16.38
40,6,18.38
40,7,18.84
40,8,18.83
40,16,18.36
40,32,18.62
