K,Hash_Size,Average_Lookup_Time_ms
25,3,0.12
25,4,0.13
25,5,0.12
25,6,0.12
25,7,0.22
25,8,0.12
25,16,0.12
25,32,0.22
26,3,0.13
26,4,0.14
26,5,0.21
26,6,0.14
26,7,0.12
26,8,0.20
26,16,0.12
26,32,0.13
27,3,0.17
27,4,0.12
27,5,0.12
27,6,0.12
27,7,0.12
27,8,0.13
27,16,0.12
27,32,0.16
28,3,0.12
28,4,0.13
28,5,0.14
28,6,0.12
28,7,0.12
28,8,0.13
28,16,0.12
28,32,0.14
29,3,0.15
29,4,0.12
29,5,0.12
29,6,0.22
29,7,0.14
29,8,0.12
29,16,0.21
29,32,0.13
30,3,0.11
30,4,0.23
30,5,0.12
30,6,0.13
30,7,0.17
30,8,0.13
30,16,0.13
30,32,0.14
31,3,0.13
31,4,0.13
31,5,0.14
31,6,0.13
31,7,0.13
31,8,0.14
31,16,0.18
31,32,0.15
32,3,0.18
32,4,0.14
32,5,0.16
32,6,0.25
32,7,0.16
32,8,0.17
32,16,0.24
32,32,0.17
33,3,0.32
33,4,0.33
33,5,0.37
33,6,0.38
33,7,0.35
33,8,0.35
33,16,0.33
33,32,0.37
34,3,0.53
34,4,0.52
34,5,0.65
34,6,0.68
34,7,0.62
34,8,0.66
34,16,0.64
34,32,0.64
35,3,0.60
35,4,0.65
35,5,0.81
35,6,0.83
35,7,0.82
35,8,0.83
35,16,0.82
35,32,0.78
36,3,0.31
36,4,0.24
36,5,0.52
36,6,0.45
36,7,0.47
36,8,0.52
36,16,0.46
36,32,0.54
37,3,0.58
37,4,0.61
37,5,1.03
37,6,1.07
37,7,1.07
37,8,1.08
37,16,1.06
37,32,1.05
