K,Hash_Size,Average_Lookup_Time_ms
25,3,0.52
25,4,0.50
25,5,0.46
25,6,0.47
25,7,0.45
25,8,0.48
25,16,0.47
25,32,0.48
26,3,3.12
26,4,2.92
26,5,3.00
26,6,2.90
26,7,2.92
26,8,3.15
26,16,2.99
26,32,2.93
27,3,5.02
27,4,4.84
27,5,4.99
27,6,4.79
27,7,5.25
27,8,4.94
27,16,4.80
27,32,4.76
28,3,5.04
28,4,4.98
28,5,5.02
28,6,5.26
28,7,5.03
28,8,5.12
28,16,4.96
28,32,5.05
29,3,5.75
29,4,5.60
29,5,5.67
29,6,5.59
29,7,5.43
29,8,5.57
29,16,5.58
29,32,5.51
30,3,5.80
30,4,5.85
30,5,5.97
30,6,5.95
30,7,5.68
30,8,5.80
30,16,5.90
30,32,5.90
31,3,5.94
31,4,5.71
31,5,5.91
31,6,5.73
31,7,5.93
31,8,5.97
31,16,5.96
31,32,5.97
32,3,6.43
32,4,6.41
32,5,6.40
32,6,6.59
32,7,6.51
32,8,6.47
32,16,6.55
32,32,6.64
33,3,6.33
33,4,6.46
33,5,6.40
33,6,6.42
33,7,6.78
33,8,6.46
33,16,6.62
33,32,6.35
34,3,7.14
34,4,7.18
34,5,7.21
34,6,7.16
34,7,7.31
34,8,7.26
34,16,7.05
34,32,7.36
35,3,7.90
35,4,7.99
35,5,7.95
35,6,7.95
35,7,7.98
35,8,8.15
35,16,8.13
35,32,7.94
36,3,9.64
36,4,9.49
36,5,9.78
36,6,9.84
36,7,9.58
36,8,9.84
36,16,9.87
36,32,10.23
37,3,10.42
37,4,10.11
37,5,10.52
37,6,10.93
37,7,10.41
37,8,10.70
37,16,10.18
37,32,10.46
40,3,14.99
40,4,14.84
40,5,17.36
40,6,18.69
40,7,18.51
40,8,18.53
40,16,18.45
40,32,18.43
