K,Hash_Size,Average_Lookup_Time_ms
25,3,0.10
26,3,0.10
27,3,0.10
28,3,0.11
29,3,0.10
30,3,0.11
31,3,0.10
25,4,0.11
26,4,0.10
27,4,0.12
28,4,0.10
29,4,0.11
30,4,0.11
31,4,0.12
25,5,0.10
26,5,0.11
27,5,0.10
28,5,0.11
29,5,0.10
30,5,0.11
31,5,0.11
25,6,0.11
26,6,0.10
27,6,0.11
28,6,0.10
29,6,0.11
30,6,0.11
31,6,0.12
25,7,0.10
26,7,0.10
27,7,0.10
28,7,0.11
29,7,0.10
30,7,0.11
31,7,0.11
25,8,0.11
26,8,0.10
27,8,0.11
28,8,0.10
29,8,0.11
30,8,0.11
31,8,0.12
25,16,0.10
26,16,0.11
27,16,0.10
28,16,0.11
29,16,0.10
30,16,0.12
31,16,0.11
25,32,0.11
26,32,0.10
27,32,0.11
28,32,0.10
29,32,0.11
30,32,0.11
31,32,0.11
32,3,0.11
33,3,0.19
34,3,0.26
35,3,0.30
36,3,0.20
37,3,0.27
32,4,0.11
33,4,0.19
34,4,0.26
35,4,0.30
36,4,0.20
37,4,0.28
32,5,0.12
33,5,0.22
34,5,0.31
35,5,0.37
36,5,0.33
37,5,0.58
32,6,0.14
33,6,0.22
34,6,0.31
35,6,0.38
36,6,0.34
37,6,0.60
32,7,0.13
33,7,0.21
34,7,0.31
35,7,0.37
36,7,0.34
37,7,0.60
32,8,0.14
33,8,0.23
34,8,0.30
35,8,0.37
36,8,0.34
37,8,0.59
32,16,0.13
33,16,0.21
34,16,0.31
35,16,0.38
36,16,0.34
37,16,0.59
32,32,0.13
33,32,0.21
34,32,0.30
35,32,0.38
36,32,0.34
37,32,0.60
