K,Hash_Size,Average_Lookup_Time_ms
25,3,0.59
25,4,0.28
25,5,0.23
25,6,0.18
25,7,0.16
25,8,0.14
25,16,0.08
25,32,0.11
26,3,0.67
26,4,0.49
26,5,0.30
26,6,0.25
26,7,0.18
26,8,0.21
26,16,0.16
26,32,0.14
27,3,0.77
27,4,0.65
27,5,0.56
27,6,0.52
27,7,0.39
27,8,0.33
27,16,0.18
27,32,0.34
28,3,0.79
28,4,0.69
28,5,0.66
28,6,0.60
28,7,0.51
28,8,0.61
28,16,0.57
28,32,0.31
29,3,1.00
29,4,0.93
29,5,0.93
29,6,0.78
29,7,0.67
29,8,0.71
29,16,0.78
29,32,0.69
30,3,1.02
30,4,0.91
30,5,0.83
30,6,0.83
30,7,0.75
30,8,0.90
30,16,0.82
30,32,0.87
31,3,0.94
31,4,0.91
31,5,0.93
31,6,0.98
31,7,0.88
31,8,0.75
31,16,0.89
31,32,0.79
32,3,0.89
32,4,0.79
32,5,0.85
32,6,0.86
32,7,0.96
32,8,0.96
32,16,0.99
32,32,0.99
33,3,1.15
33,4,0.90
33,5,0.93
33,6,0.92
33,7,0.87
33,8,0.75
33,16,0.93
33,32,0.89
34,3,1.32
34,4,1.21
34,5,1.13
34,6,1.13
34,7,1.09
34,8,1.09
34,16,1.01
34,32,1.12
35,3,1.51
35,4,1.33
35,5,1.29
35,6,1.23
35,7,1.25
35,8,1.25
35,16,1.08
35,32,1.19
36,3,1.80
36,4,1.54
36,5,1.50
36,6,1.51
36,7,1.52
36,8,1.29
36,16,1.23
36,32,1.41
37,3,1.54
37,4,1.45
37,5,1.51
37,6,1.54
37,7,1.50
37,8,1.49
37,16,1.54
37,32,1.43
