K,Hash_Size,Average_Lookup_Time_ms
25,3,1.60
25,4,0.61
25,5,0.72
25,6,0.68
25,7,0.76
25,8,0.66
25,16,0.69
25,32,0.63
26,3,3.49
26,4,3.28
26,5,3.08
26,6,3.32
26,7,3.29
26,8,3.43
26,16,3.15
26,32,3.38
27,3,4.85
27,4,4.59
27,5,4.63
27,6,4.65
27,7,4.83
27,8,4.75
27,16,4.72
27,32,4.64
28,3,5.42
28,4,5.48
28,5,5.54
28,6,5.46
28,7,5.45
28,8,5.39
28,16,5.58
28,32,5.49
29,3,6.23
29,4,6.09
29,5,6.24
29,6,5.97
29,7,6.10
29,8,6.24
29,16,5.99
29,32,6.11
30,3,6.27
30,4,6.07
30,5,6.26
30,6,6.33
30,7,6.31
30,8,6.36
30,16,6.30
30,32,6.28
31,3,6.45
31,4,6.48
31,5,6.32
31,6,6.28
31,7,6.41
31,8,6.46
31,16,6.26
31,32,6.49
32,3,6.46
32,4,6.59
32,5,6.69
32,6,6.64
32,7,6.55
32,8,6.52
32,16,6.60
32,32,6.77
33,3,7.73
33,4,7.55
33,5,7.84
33,6,7.94
33,7,7.81
33,8,7.84
33,16,7.91
33,32,7.99
34,3,8.65
34,4,8.55
34,5,8.64
34,6,8.61
34,7,9.10
34,8,8.63
34,16,8.84
34,32,8.94
35,3,9.91
35,4,9.03
35,5,8.56
35,6,8.81
35,7,8.84
35,8,9.03
35,16,8.68
35,32,8.92
36,3,11.40
36,4,11.29
36,5,11.53
36,6,11.41
36,7,11.42
36,8,11.67
36,16,11.36
36,32,11.42
37,3,10.92
37,4,10.78
37,5,11.11
37,6,11.05
37,7,10.91
37,8,10.73
37,16,11.13
37,32,11.05
38,3,8.54
38,4,8.56
38,5,8.68
38,6,8.81
38,7,8.66
38,8,8.46
38,16,8.69
38,32,8.72
39,3,11.94
39,4,12.31
39,5,12.05
39,6,11.88
39,7,12.20
39,8,12.48
39,16,12.42
39,32,12.29
40,3,13.98
40,4,13.85
40,5,14.10
40,6,13.96
40,7,14.23
40,8,14.05
40,16,14.02
40,32,14.32
