K,Hash_Size,Average_Lookup_Time_ms
25,3,0.10
26,3,0.11
27,3,0.19
28,3,0.11
29,3,0.19
30,3,0.34
31,3,0.37
25,4,0.12
26,4,0.18
27,4,0.09
28,4,0.13
29,4,0.17
30,4,0.09
31,4,0.12
25,5,0.21
26,5,0.16
27,5,0.08
28,5,0.09
29,5,0.08
30,5,0.14
31,5,0.13
25,6,0.08
26,6,0.15
27,6,0.14
28,6,0.21
29,6,0.08
30,6,0.23
31,6,0.14
25,7,0.15
26,7,0.10
27,7,0.16
28,7,0.21
29,7,0.12
30,7,0.11
31,7,0.11
25,8,0.19
26,8,0.15
27,8,0.10
28,8,0.13
29,8,0.19
30,8,0.11
31,8,0.09
25,16,0.09
26,16,0.08
27,16,0.08
28,16,0.08
29,16,0.08
30,16,0.09
31,16,0.09
25,32,0.08
26,32,0.08
27,32,0.11
28,32,0.08
29,32,0.09
30,32,0.09
31,32,0.08
32,3,0.09
33,3,0.12
34,3,0.14
32,4,0.10
33,4,0.10
34,4,0.13
32,5,0.11
33,5,0.13
34,5,0.13
32,6,0.11
33,6,0.11
34,6,0.16
32,7,0.17
33,7,0.10
34,7,0.29
32,8,0.11
33,8,0.10
34,8,0.23
32,16,0.20
33,16,0.16
34,16,0.16
32,32,0.11
33,32,0.18
34,32,0.13
