K,Hash_Size,Average_Lookup_Time_ms
25,3,1.67
26,3,3.58
27,3,4.89
28,3,5.56
29,3,6.13
30,3,6.34
31,3,6.37
25,4,1.74
26,4,3.46
27,4,4.83
28,4,5.30
29,4,6.13
30,4,6.16
31,4,6.38
25,5,1.65
26,5,3.71
27,5,4.87
28,5,5.61
29,5,6.12
30,5,6.35
31,5,6.34
25,6,1.73
26,6,3.52
27,6,4.82
28,6,5.57
29,6,6.24
30,6,6.36
31,6,6.43
25,7,1.71
26,7,3.55
27,7,5.04
28,7,5.51
29,7,6.14
30,7,6.39
31,7,6.36
25,8,1.69
26,8,3.36
27,8,4.85
28,8,5.60
29,8,6.17
30,8,6.34
31,8,6.45
25,16,1.77
26,16,3.54
27,16,4.84
28,16,5.46
29,16,6.12
30,16,6.31
31,16,6.35
25,32,1.63
26,32,3.40
27,32,4.71
28,32,5.61
29,32,6.22
30,32,6.25
31,32,6.33
32,3,6.38
33,3,7.86
34,3,7.88
35,3,8.36
36,3,11.26
37,3,11.42
38,3,8.51
39,3,12.30
40,3,13.49
32,4,6.61
33,4,7.88
34,4,8.01
35,4,8.33
36,4,11.28
37,4,11.11
38,4,8.58
39,4,12.00
40,4,13.83
32,5,6.50
33,5,7.33
34,5,7.87
35,5,8.25
36,5,11.57
37,5,11.41
38,5,8.85
39,5,12.18
40,5,14.15
32,6,6.57
33,6,7.65
34,6,8.08
35,6,8.57
36,6,11.57
37,6,11.26
38,6,8.62
39,6,12.45
40,6,14.18
32,7,6.59
33,7,7.68
34,7,7.76
35,7,8.50
36,7,11.41
37,7,11.30
38,7,9.01
39,7,12.33
40,7,14.27
32,8,6.52
33,8,7.64
34,8,8.22
35,8,8.45
36,8,11.56
37,8,11.24
38,8,8.91
39,8,12.61
40,8,14.43
32,16,6.56
33,16,7.54
34,16,7.90
35,16,8.33
36,16,11.55
37,16,11.28
38,16,8.78
39,16,12.18
40,16,14.43
32,32,6.59
33,32,7.57
34,32,8.23
35,32,8.42
36,32,11.45
37,32,11.38
38,32,8.81
39,32,12.16
40,32,14.56
